accession	accession_version	strain	published_clade
JX947811	JX947811.1	HN1152	
JX947812	JX947812.1	CQ663	
JX947813	JX947813.1	CQ758	
JX947814	JX947814.1	CQ1462	
JX947815	JX947815.1	SD1345	
JX947816	JX947816.1	SD477	
JX947817	JX947817.1	CQ1654	
JX947818	JX947818.1	CQ1533	
JX947819	JX947819.1	CQ1509	
JX947820	JX947820.1	SD398	
JX947821	JX947821.1	SD1261	
JX947822	JX947822.1	SD265	
JX947823	JX947823.1	SD267	
JX947824	JX947824.1	SD331	
JX947825	JX947825.1	SD335	
JX947826	JX947826.1	SD268	
JX947827	JX947827.1	SD495	
JX947828	JX947828.1	SD877	
JX947829	JX947829.1	SD401	
JX947830	JX947830.1	SD350	
JX947831	JX947831.1	SD421	
JX947832	JX947832.1	SD356	
JX947833	JX947833.1	SD407	
JX947834	JX947834.1	CQ191	
JX947835	JX947835.1	CQ699	
JX947836	JX947836.1	CQ718	
JX947837	JX947837.1	CQ730	
JX947838	JX947838.1	SD437	
KC431253	KC431253.1	5005536/2011	
KC787150	KC787150.1	09C2CMR	
KC834855	KC834855.1	KC834855	
KC834856	KC834856.1	KC834856	
KC834857	KC834857.1	KC834857	
KC834858	KC834858.1	KC834858	
KC834859	KC834859.1	KC834859	
KC834860	KC834860.1	KC834860	
KC834861	KC834861.1	KC834861	
KC834862	KC834862.1	KC834862	
KC834863	KC834863.1	KC834863	
KC834864	KC834864.1	KC834864	
KC834865	KC834865.1	KC834865	
KC834866	KC834866.1	KC834866	
KC834867	KC834867.1	KC834867	
KC834868	KC834868.1	KC834868	
KC834869	KC834869.1	KC834869	
KC834870	KC834870.1	KC834870	
KC834871	KC834871.1	KC834871	
KC834872	KC834872.1	KC834872	
KC834873	KC834873.1	KC834873	
KC834874	KC834874.1	KC834874	
KC834875	KC834875.1	KC834875	
KC834876	KC834876.1	KC834876	
KC834877	KC834877.1	KC834877	
KC867018	KC867018.1	JB14080134	
KC867019	KC867019.1	JB14080254	
KC867020	KC867020.1	JB143090068	
KC867021	KC867021.1	JB141090091	
KC867022	KC867022.1	JB143090081	
KC867023	KC867023.1	JB143090058	
KC867024	KC867024.1	JB143090180	
KC867025	KC867025.1	JB143090161	
KC867027	KC867027.1	JB143090129	
KC867029	KC867029.1	JB143090089	
KC867030	KC867030.1	JB143090177	
KC867031	KC867031.1	JB143090076	
KC867032	KC867032.1	JB143090019	
KC867033	KC867033.1	JB143090104	
KC867034	KC867034.1	JB143090115	
KC867035	KC867035.1	JB141230266	
KC867036	KC867036.1	JB141230286	
KC867037	KC867037.1	JB141230277	
KC867038	KC867038.1	JB141230192	
KC867039	KC867039.1	JB141230096	
KC867040	KC867040.1	JB141230004	
KC867041	KC867041.1	JB141230092	
KC867042	KC867042.1	JB141230005	
KC867043	KC867043.1	JB141230346	
KC867045	KC867045.1	JB14080581	
KC879329	KC879329.1	KC879329	
KC879330	KC879330.1	KC879330	
KC879333	KC879333.1	KC879333	
KC879339	KC879339.1	KC879339	
KC879351	KC879351.1	KC879351	
KC879360	KC879360.1	KC879360	
KC879363	KC879363.1	KC879363	
KC879373	KC879373.1	KC879373	
KC879379	KC879379.1	KC879379	
KC879380	KC879380.1	KC879380	
KC879383	KC879383.1	KC879383	
KC879408	KC879408.1	KC879408	
KC879409	KC879409.1	KC879409	
KC879412	KC879412.1	KC879412	
KC879418	KC879418.1	KC879418	
KC879430	KC879430.1	KC879430	
KC879439	KC879439.1	KC879439	
KC879442	KC879442.1	KC879442	
KC879452	KC879452.1	KC879452	
KC879458	KC879458.1	KC879458	
KC879459	KC879459.1	KC879459	
KC879462	KC879462.1	KC879462	
KC879487	KC879487.1	KC879487	
KC879488	KC879488.1	KC879488	
KC879491	KC879491.1	KC879491	
KC879497	KC879497.1	KC879497	
KC879507	KC879507.1	KC879507	
KC879515	KC879515.1	KC879515	
KC879518	KC879518.1	KC879518	
KC879528	KC879528.1	KC879528	
KC879534	KC879534.1	KC879534	
KC879535	KC879535.1	KC879535	
KC879537	KC879537.1	KC879537	
KC893470	KC893470.1	EV_851521_ADAM_NL08	
KC893494	KC893494.1	EV_1152403_ADAM_NL11	
KC954150	KC954150.1	Italy/2012/KM1227365	
KF006263	KF006263.1	KM1222088	
KF150147	KF150147.1	001/LY/CHN/AM/10/CA10	
KF150148	KF150148.1	016/LY/CHN/AM/10/CA10	
KF150149	KF150149.1	031/LY/CHN/AM/10/CA10	
KF246659	KF246659.1	SJZ12-0160T/HeB/CHN/2012	
KF246660	KF246660.1	SJZ12-0335T/HeB/CHN/2012	
KF246661	KF246661.1	SJZ12-0338T/HeB/CHN/2012	
KF246662	KF246662.1	SJZ12-0405T/HeB/CHN/2012	
KF246663	KF246663.1	SJZ12-0741F/HeB/CHN/2012	
KF246664	KF246664.1	SJZ12-0743F/HeB/CHN/2012	
KF246665	KF246665.1	SJZ12-0744F/HeB/CHN/2012	
KF246666	KF246666.1	SJZ12-0831F/HeB/CHN/2012	
KF246667	KF246667.1	SJZ12-0837F/HeB/CHN/2012	
KF246668	KF246668.1	SJZK12-0046T/HeB/CHN/2012	
KF246669	KF246669.1	SJZK12-0001F/HeB/CHN/2012	
KF246670	KF246670.1	SJZK12-0037F/HeB/CHN/2012	
KF246671	KF246671.1	SJZ10-0044T/HeB/CHN/2010	
KF246672	KF246672.1	SJZ10-0813T/HeB/CHN/2010	
KF246673	KF246673.1	SJZ10-1008T/HeB/CHN/2010	
KF246674	KF246674.1	SJZ10-1170T/HeB/CHN/2010	
KF246675	KF246675.1	SJZ10-1240T/HeB/CHN/2010	
KF246676	KF246676.1	SJZ10-1377T/HeB/CHN/2010	
KF246677	KF246677.1	SJZ10-1740T/HeB/CHN/2010	
KF246678	KF246678.1	SJZ10-1514T/HeB/CHN/2010	
KF383378	KF383378.1	CAV10_THA/B6446/2012	
KF412931	KF412931.1	NIV55328	
KF413001	KF413001.1	NIV096693	
KF413048	KF413048.1	NIV0512487-1	
KF413050	KF413050.1	NIV0512484	
KF499109	KF499109.1	KF499109	
KF499110	KF499110.1	KF499110	
KF499591	KF499591.1	CVA10/CS706/CHN/2012	
KF499592	KF499592.1	CVA10/CS732/CHN/2012	
KF586334	KF586334.1	KF586334	
KF586335	KF586335.1	KF586335	
KF661154	KF661154.1	CAV10_THA/CU244/2012	
KF661155	KF661155.1	CAV10_THA/CU254/2012	
KF661156	KF661156.1	CAV10_THA/CU255/2012	
KF661157	KF661157.1	CAV10_THA/CU261/2012	
KF661158	KF661158.1	CAV10_THA/CU320/2012	
KF661159	KF661159.1	CAV10_THA/CU833/2012	
KF661160	KF661160.1	CAV10_THA/CU843/2012	
KF661161	KF661161.1	CAV10_THA/CU902/2012	
KF661162	KF661162.1	CAV10_THA/CU957/2012	
KF661163	KF661163.1	CAV10_THA/CU958/2012	
KF661164	KF661164.1	CAV10_THA/CU787/2012	
KF661165	KF661165.1	CAV10_THA/CU963/2012	
KF806703	KF806703.1	KF806703	
KF806704	KF806704.1	KF806704	
KF806705	KF806705.1	KF806705	
KF806706	KF806706.1	KF806706	
KF806707	KF806707.1	KF806707	
KF806708	KF806708.1	KF806708	
KF806709	KF806709.1	KF806709	
KF806710	KF806710.1	KF806710	
KF806711	KF806711.1	KF806711	
KF806712	KF806712.1	KF806712	
KF806713	KF806713.1	KF806713	
KF806714	KF806714.1	KF806714	
KF806715	KF806715.1	KF806715	
KF806716	KF806716.1	KF806716	
KF806717	KF806717.1	KF806717	
KF806718	KF806718.1	KF806718	
KF806719	KF806719.1	KF806719	
KF806720	KF806720.1	KF806720	
KF806721	KF806721.1	KF806721	
KF806722	KF806722.1	KF806722	
KF806723	KF806723.1	KF806723	
KF806724	KF806724.1	KF806724	
KF806725	KF806725.1	KF806725	
KF806726	KF806726.1	KF806726	
KF806727	KF806727.1	KF806727	
KF806728	KF806728.1	KF806728	
KF806729	KF806729.1	KF806729	
KF999730	KF999730.1	CQ11-61	
KF999731	KF999731.1	CQ11-63	
KF999732	KF999732.1	CQ11-64	
KF999733	KF999733.1	CQ12-1	
KF999734	KF999734.1	CQ12-6	
KF999735	KF999735.1	CQ12-21	
KF999736	KF999736.1	CQ12-34	
KF999737	KF999737.1	CQ12-49	
KF999738	KF999738.1	CQ12-50	
KF999739	KF999739.1	CQ12-52	
KF999740	KF999740.1	HaN10-189	
KF999741	KF999741.1	HaN10-214	
KF999742	KF999742.1	HaN10-215	
KF999743	KF999743.1	HaN10-236	
KF999744	KF999744.1	HLJ10-16	
KF999745	KF999745.1	HLJ10-19	
KF999746	KF999746.1	HuN09-19	
KF999748	KF999748.1	HuN09-23	
KF999749	KF999749.1	HuN09-24	
KF999750	KF999750.1	HuN09-51	
KF999751	KF999751.1	HuN10-105	
KF999752	KF999752.1	HuN10-109	
KF999753	KF999753.1	HuN10-110	
KF999754	KF999754.1	HuN10-111	
KF999755	KF999755.1	HuN10-113	
KF999756	KF999756.1	HuN10-116	
KF999757	KF999757.1	HuN10-122	
KF999758	KF999758.1	HuN10-123	
KF999760	KF999760.1	JL12-25	
KF999761	KF999761.1	JL12-34	
KF999762	KF999762.1	JL12-39	
KF999763	KF999763.1	JL12-50	
KF999764	KF999764.1	JL12-51	
KF999765	KF999765.1	JL12-52	
KF999766	KF999766.1	JX11-32	
KF999767	KF999767.1	JX11-33	
KF999768	KF999768.1	JX11-45	
KF999769	KF999769.1	JX11-100	
KF999770	KF999770.1	JX11-114	
KF999771	KF999771.1	JX11-120	
KF999772	KF999772.1	JX11-131	
KF999773	KF999773.1	JX11-156	
KF999774	KF999774.1	LN10-44	
KF999775	KF999775.1	LN12-92	
KF999776	KF999776.1	LN12-94	
KF999777	KF999777.1	LN12-97	
KF999778	KF999778.1	LN12-98	
KF999779	KF999779.1	NX10-37	
KF999780	KF999780.1	NX10-152	
KF999781	KF999781.1	NX10-155	
KF999782	KF999782.1	NX11-145	
KF999783	KF999783.1	NX11-146	
KF999784	KF999784.1	NX12-53	
KF999785	KF999785.1	ZJ10-122	
KF999786	KF999786.1	ZJ10-146	
KJ156354	KJ156354.1	KJ156354	
KJ156355	KJ156355.1	KJ156355	
KJ156356	KJ156356.1	KJ156356	
KJ156357	KJ156357.1	KJ156357	
KJ156358	KJ156358.1	KJ156358	
KJ156359	KJ156359.1	KJ156359	
KJ472836	KJ472836.1	HEV099009	
KJ784511	KJ784511.1	CS124/HN/CHN/12	
KJ784512	KJ784512.1	CS522/HN/CHN/12	
KJ784513	KJ784513.1	CS538/HN/CHN/12	
KJ865466	KJ865466.1	105816/GZ/2010/CA10	
KJ865467	KJ865467.1	105872/GZ/2010/CA10	
KJ865468	KJ865468.1	106758/GZ/2010/CA10	
KJ865469	KJ865469.1	106767/GZ/2010/CA10	
KJ865470	KJ865470.1	106957/GZ/2010/CA10	
KJ865471	KJ865471.1	107300/GZ/2010/CA10	
KJ865472	KJ865472.1	108580/GZ/2010/CA10	
KJ865473	KJ865473.1	109466/GZ/2010/CA10	
KJ865474	KJ865474.1	114630/GZ/2011/CA10	
KJ865475	KJ865475.1	115033/GZ/2011/CA10	
KJ865476	KJ865476.1	115257/GZ/2011/CA10	
KJ865477	KJ865477.1	115513/GZ/2011/CA10	
KJ865478	KJ865478.1	115845/GZ/2011/CA10	
KJ865479	KJ865479.1	116646/GZ/2011/CA10	
KJ865480	KJ865480.1	117002/GZ/2011/CA10	
KJ865481	KJ865481.1	117495/GZ/2011/CA10	
KJ865482	KJ865482.1	117608/GZ/2011/CA10	
KJ865483	KJ865483.1	124018/GZ/2012/CA10	
KJ865484	KJ865484.1	124485/GZ/2012/CA10	
KJ865485	KJ865485.1	129356/GZ/2012/CA10	
KJ865486	KJ865486.1	1012670/GZ/2010/CA10	
KJ865487	KJ865487.1	1211598/GZ/2012/CA10	
KJ865488	KJ865488.1	1212738/GZ/2012/CA10	
KJ865489	KJ865489.1	1213699/GZ/2012/CA10	
KJ865490	KJ865490.1	1313465/GZ/2013/CA10	
KJ865491	KJ865491.1	1317690/GZ/2013/CA10	
KJ865492	KJ865492.1	1320704/GZ/2013/CA10	
KM048103	KM048103.1	KM048103	
KM048104	KM048104.1	KM048104	
KM048105	KM048105.1	KM048105	
KM048106	KM048106.1	KM048106	
KM048107	KM048107.1	KM048107	
KM048108	KM048108.1	KM048108	
KM048109	KM048109.1	KM048109	
KM048110	KM048110.1	KM048110	
KM048111	KM048111.1	KM048111	
KM048112	KM048112.1	KM048112	
KM048113	KM048113.1	KM048113	
KM048114	KM048114.1	KM048114	
KM048115	KM048115.1	KM048115	
KM048116	KM048116.1	KM048116	
KM048117	KM048117.1	KM048117	
KM048118	KM048118.1	KM048118	
KM048119	KM048119.1	KM048119	
KM048120	KM048120.1	KM048120	
KM048121	KM048121.1	KM048121	
KM613171	KM613171.1	KM613171	
KM816529	KM816529.1	KM816529	
KM816530	KM816530.1	KM816530	
KM816531	KM816531.1	KM816531	
KM816532	KM816532.1	KM816532	
KM816533	KM816533.1	KM816533	
KM816534	KM816534.1	KM816534	
KM816535	KM816535.1	KM816535	
KM816536	KM816536.1	KM816536	
KM816537	KM816537.1	KM816537	
KM816538	KM816538.1	KM816538	
KM816539	KM816539.1	KM816539	
KM816540	KM816540.1	KM816540	
KM816541	KM816541.1	KM816541	
KM816542	KM816542.1	KM816542	
KM816543	KM816543.1	KM816543	
KM816544	KM816544.1	KM816544	
KM816545	KM816545.1	KM816545	
KM816546	KM816546.1	KM816546	
KM816547	KM816547.1	KM816547	
KM816548	KM816548.1	KM816548	
KM816549	KM816549.1	KM816549	
KM816550	KM816550.1	KM816550	
KM816551	KM816551.1	KM816551	
KP005985	KP005985.1	JB141330001-CA10	
KP005986	KP005986.1	JB141330030-CA10	
KP005987	KP005987.1	JB141330159-CA10	
KP005988	KP005988.1	JB141330091-CA10	
KP005989	KP005989.1	JB141330107-CA10	
KP005990	KP005990.1	JB141330115-CA10	
KP005991	KP005991.1	JB141330117-CA10	
KP005992	KP005992.1	JB141330138-CA10	
KP005993	KP005993.1	JB141330139-CA10	
KP005994	KP005994.1	JB141330196-CA10	
KP005995	KP005995.1	JB141330209-CA10	
KP005996	KP005996.1	JB141330210-CA10	
KP005997	KP005997.1	JB141330211-CA10	
KP005998	KP005998.1	JB141330214-CA10	
KP005999	KP005999.1	JB141330251-CA10	
KP006000	KP006000.1	JB141330258-CA10	
KP006001	KP006001.1	JB141330265-CA10	
KP006002	KP006002.1	JB141330438-CA10	
KP164063	KP164063.1	suzh032	
KP164064	KP164064.1	suzh033	
KP164067	KP164067.1	suzh036	
KP164069	KP164069.1	suzh038	
KP164070	KP164070.1	suzh039	
KP164071	KP164071.1	suzh040	
KP164075	KP164075.1	suzh044	
KP164077	KP164077.1	suzh046	
KP164079	KP164079.1	suzh048	
KP164080	KP164080.1	suzh049	
KP164081	KP164081.1	suzh050	
KP164089	KP164089.1	suzh058	
KP164099	KP164099.1	suzh068	
KP164107	KP164107.1	suzh076	
KP164108	KP164108.1	suzh077	
KP164111	KP164111.1	suzh080	
KP164113	KP164113.1	suzh082	
KP164125	KP164125.1	suzh094	
KP164127	KP164127.1	suzh096	
KP164129	KP164129.1	suzh098	
KP164130	KP164130.1	suzh099/CA10	
KP164135	KP164135.1	suzh103	
KP164136	KP164136.1	suzh104	
KP164174	KP164174.1	suzh032	
KP164175	KP164175.1	suzh033	
KP164178	KP164178.1	suzh036	
KP164180	KP164180.1	suzh038	
KP164181	KP164181.1	suzh039	
KP164182	KP164182.1	suzh040	
KP164186	KP164186.1	suzh044	
KP164188	KP164188.1	suzh046	
KP164190	KP164190.1	suzh048	
KP164191	KP164191.1	suzh049	
KP164192	KP164192.1	suzh050	
KP164200	KP164200.1	suzh058	
KP164210	KP164210.1	suzh068	
KP164218	KP164218.1	suzh076	
KP164219	KP164219.1	suzh077	
KP164222	KP164222.1	suzh080	
KP164224	KP164224.1	suzh082	
KP164236	KP164236.1	suzh094	
KP164238	KP164238.1	suzh096	
KP164240	KP164240.1	suzh098	
KP164241	KP164241.1	suzh099/CA10	
KP164246	KP164246.1	suzh103	
KP164247	KP164247.1	suzh104	
KP290013	KP290013.1	CV-A10/P1008/2013/China	
KP290014	KP290014.1	CV-A10/P1010/2013/China	
KP290015	KP290015.1	CV-A10/P145/2013/China	
KP290016	KP290016.1	CV-A10/P147/2013/China	
KP290017	KP290017.1	CV-A10/P160/2013/China	
KP290018	KP290018.1	CV-A10/P161/2013/China	
KP290019	KP290019.1	CV-A10/P163/2013/China	
KP290020	KP290020.1	CV-A10/P201/2013/China	
KP290021	KP290021.1	CV-A10/P205/2013/China	
KP290022	KP290022.1	CV-A10/P216/2013/China	
KP290023	KP290023.1	CV-A10/P226/2013/China	
KP290024	KP290024.1	CV-A10/P233/2013/China	
KP290025	KP290025.1	CV-A10/P257/2013/China	
KP290026	KP290026.1	CV-A10/P268/2013/China	
KP290027	KP290027.1	CV-A10/P269/2013/China	
KP290028	KP290028.1	CV-A10/P296/2013/China	
KP290029	KP290029.1	CV-A10/P341/2013/China	
KP290030	KP290030.1	CV-A10/P346/2013/China	
KP290031	KP290031.1	CV-A10/P38/2013/China	
KP290032	KP290032.1	CV-A10/P417/2013/China	
KP290033	KP290033.1	CV-A10/P42/2013/China	
KP290034	KP290034.1	CV-A10/P456/2013/China	
KP290035	KP290035.1	CV-A10/P483/2013/China	
KP290036	KP290036.1	CV-A10/P4/2013/China	
KP290037	KP290037.1	CV-A10/P54/2013/China	
KP290038	KP290038.1	CV-A10/P58/2013/China	
KP290039	KP290039.1	CV-A10/P59/2013/China	
KP290040	KP290040.1	CV-A10/P60/2013/China	
KP290041	KP290041.1	CV-A10/P62/2013/China	
KP290042	KP290042.1	CV-A10/P631/2013/China	
KP290043	KP290043.1	CV-A10/P641/2013/China	
KP290044	KP290044.1	CV-A10/P649/2013/China	
KP290045	KP290045.1	CV-A10/P668/2013/China	
KP290046	KP290046.1	CV-A10/P714/2013/China	
KP290047	KP290047.1	CV-A10/P761/2013/China	
KP290048	KP290048.1	CV-A10/P81/2013/China	
KP290049	KP290049.1	CV-A10/P838/2013/China	
KP290050	KP290050.1	CV-A10/P855/2013/China	
KP290051	KP290051.1	CV-A10/P862/2013/China	
KP290052	KP290052.1	CV-A10/P865/2013/China	
KP290053	KP290053.1	CV-A10/P901/2013/China	
KP290054	KP290054.1	CV-A10/P918/2013/China	
KP290055	KP290055.1	CV-A10/P93/2013/China	
KP290056	KP290056.1	CV-A10/P980/2013/China	
KP717666	KP717666.1	KP717666	
KP717667	KP717667.1	KP717667	
KP717668	KP717668.1	KP717668	
KP717669	KP717669.1	KP717669	
KP717670	KP717670.1	KP717670	
KP717671	KP717671.1	KP717671	
KP717672	KP717672.1	KP717672	
KP717673	KP717673.1	KP717673	
KP717674	KP717674.1	KP717674	
KP717675	KP717675.1	KP717675	
KP717676	KP717676.1	KP717676	
KP717677	KP717677.1	KP717677	
KP717678	KP717678.1	KP717678	
KP717679	KP717679.1	KP717679	
KP717680	KP717680.1	KP717680	
KP717681	KP717681.1	KP717681	
KP717682	KP717682.1	KP717682	
KP717683	KP717683.1	KP717683	
KP747501	KP747501.1	0405_CA10_07.2013	
KP747502	KP747502.1	0120_CA10_07.2013	
KP861810	KP861810.1	SPb_5120/13EVI/Mur-3/14/RU	
KT186290	KT186290.1	HFM-000213\BJ-CHN\2011	
KT186291	KT186291.1	HFM-000529\BJ-CHN\2012	
KT186292	KT186292.1	HFM-000621\BJ-CHN\2012	
KT186293	KT186293.1	HFM-000918\BJ-CHN\2012	
KT186294	KT186294.1	HFM-001105\BJ-CHN\2012	
KT186295	KT186295.1	HFM-001117\BJ-CHN\2012	
KT186296	KT186296.1	HFM-001131\BJ-CHN\2012	
KT186297	KT186297.1	HFM-001198\BJ-CHN\2012	
KT186298	KT186298.1	HFM-Y-258\BJ-CHN\2010	
KT186299	KT186299.1	HFM-Y-281\BJ-CHN\2010	
KT186300	KT186300.1	HFM-Y-307\BJ-CHN\2010	
KT186301	KT186301.1	HFM-Y-314\BJ-CHN\2010	
KT186302	KT186302.1	HFM-Y-405\BJ-CHN\2010	
KT186303	KT186303.1	HFM-Y-444\BJ-CHN\2010	
KT186304	KT186304.1	HFM-Y-547\BJ-CHN\2010	
KT186305	KT186305.1	HFM-Y-552\BJ-CHN\2010	
KT186306	KT186306.1	HFM-Y-689\BJ-CHN\2010	
KT186307	KT186307.1	HFM-Y-790\BJ-CHN\2010	
KT186308	KT186308.1	HFM-Y-886\BJ-CHN\2010	
KT186309	KT186309.1	HFM-Y-898\BJ-CHN\2010	
KT186310	KT186310.1	HFM-Y-1906\BJ-CHN\2011	
KU560921	KU560921.1	EV_NL_7	
KU560922	KU560922.1	EV_NL_290	
KU885541	KU885541.1	AYLA11070/HN/CHN/2011	
KU885542	KU885542.1	AYBG12002/HN/CHN/2012	
KU885543	KU885543.1	AYHX12013/HN/CHN/2012	
KU885544	KU885544.1	AYHX12034/HN/CHN/2012	
KU885545	KU885545.1	AYLA12046/HN/CHN/2012	
KU885546	KU885546.1	AYLA12069/HN/CHN/2012	
KU885547	KU885547.1	AYLA12072/HN/CHN/2012	
KU885548	KU885548.1	AYLA12165/HN/CHN/2012	
KU885549	KU885549.1	AYLA12252/HN/CHN/2012	
KU885550	KU885550.1	AYLA12296/HN/CHN/2012	
KU885551	KU885551.1	AYLA12342/HN/CHN/2012	
KU885552	KU885552.1	AYNH12006/HN/CHN/2012	
KU885553	KU885553.1	AYLA13157/HN/CHN/2013	
KU885554	KU885554.1	AYLA13239/HN/CHN/2013	
KU885555	KU885555.1	AYLA13328/HN/CHN/2013	
KU885556	KU885556.1	AYLA13332/HN/CHN/2013	
KU885557	KU885557.1	AYLA14025/HN/CHN/2014	
KU885558	KU885558.1	AYLA14068/HN/CHN/2014	
KU885559	KU885559.1	AYLA14078/HN/CHN/2014	
KU885560	KU885560.1	AYLA14091/HN/CHN/2014	
KU885561	KU885561.1	AYLA14138/HN/CHN/2014	
KU885562	KU885562.1	AYLA14148/HN/CHN/2014	
KU885563	KU885563.1	AYLA14167/HN/CHN/2014	
KU885564	KU885564.1	AYLA14191/HN/CHN/2014	
KU885565	KU885565.1	AYLA14192/HN/CHN/2014	
KU885566	KU885566.1	AYLA14198/HN/CHN/2014	
KU885567	KU885567.1	AYLA14211/HN/CHN/2014	
KU885568	KU885568.1	AYLA14226/HN/CHN/2014	
KU885569	KU885569.1	AYLA14237/HN/CHN/2014	
KU885570	KU885570.1	AYLA14250/HN/CHN/2014	
KU885571	KU885571.1	AYTY14002/HN/CHN/2014	
KU885572	KU885572.1	AYLA15100/HN/CHN/2015	
KX094564	KX094564.1	KX094564	
KX094565	KX094565.1	KX094565	
KX304013	KX304013.1	Italy/2014/KM1430254	
KX430803	KX430803.1	KX430803	
KX430804	KX430804.1	KX430804	
KX430805	KX430805.1	KX430805	
KX430807	KX430807.1	KX430807	
KX430808	KX430808.1	KX430808	
KX430810	KX430810.1	KX430810	
KX768155	KX768155.1	2014-XMCDC-301-CA10	
KX768157	KX768157.1	2014-XMCDC-466-CA10	
KX768158	KX768158.1	2015-XMCDC-66-CA10	
KX768161	KX768161.1	2015-XMCDC-106-CA10	
KX768162	KX768162.1	2015-XMCDC-139-CA10	
KX768164	KX768164.1	2015-XMCDC-189-CA10	
KX768165	KX768165.1	2015-XMCDC-199-CA10	
KX768166	KX768166.1	2015-XMCDC-220-CA10	
KX768167	KX768167.1	2015-XMCDC-241-CA10	
KX768168	KX768168.1	2015-XMCDC-247-CA10	
KX768169	KX768169.1	2009-XMCDC-3479-CA10	
KX768170	KX768170.1	2009-XMCDC-5090-CA10	
KX768171	KX768171.1	2009-XMCDC-3953-CA10	
KX768172	KX768172.1	2009-XMCDC-4409-CA10	
KX768173	KX768173.1	2009-XMCDC-4544-CA10	
KX768174	KX768174.1	2009-XMCDC-4955-CA10	
KX768175	KX768175.1	2010-XMCDC-7016-CA10	
KX768176	KX768176.1	2010-XMCDC-7431-CA10	
KX768177	KX768177.1	2009-XMCDC-4203-CA10	
KX768178	KX768178.1	2010-XMCDC-7631-CA10	
KX768179	KX768179.1	2011-XMCDC-717-CA10	
KX768180	KX768180.1	2011-XMCDC-761-CA10	
KX768181	KX768181.1	2011-XMCDC-762-CA10	
KX768182	KX768182.1	2011-XMCDC-771-CA10	
KX768183	KX768183.1	2011-XMCDC-827-CA10	
KX768184	KX768184.1	2011-XMCDC-848-CA10	
KX768185	KX768185.1	2013-XMCDC-55-CA10	
KX768186	KX768186.1	2013-XMCDC-362-CA10	
KX768187	KX768187.1	2013-XMCDC-412-CA10	
KX768188	KX768188.1	2013-XMCDC-506-CA10	
KX768189	KX768189.1	2014-XMCDC-71-CA10	
KX768190	KX768190.1	2014-XMCDC-301-CA10	
KX768191	KX768191.1	2014-XMCDC-361-CA10	
KX768192	KX768192.1	2014-XMCDC-417-CA10	
KX768193	KX768193.1	2015-XMCDC-247-CA10	
KX768194	KX768194.1	2015-XMCDC-272-CA10	
KX768195	KX768195.1	2015-XMCDC-199-CA10	
KX768196	KX768196.1	2014-XMCDC-466-CA10	
KX768197	KX768197.1	2009-XMCDC-5711-CA10	
KX768198	KX768198.1	2014-XMCDC-565-CA10	
KX768199	KX768199.1	2015-XMCDC-241-CA10	
KX768200	KX768200.1	2015-XMCDC-66-CA10	
KX768201	KX768201.1	2015-XMCDC-85-CA10	
KX768202	KX768202.1	2015-XMCDC-87-CA10	
KX768203	KX768203.1	2015-XMCDC-106-CA10	
KX768204	KX768204.1	2015-XMCDC-139-CA10	
KX768205	KX768205.1	2015-XMCDC-153-CA10	
KX768206	KX768206.1	2015-XMCDC-162-CA10	
KX768207	KX768207.1	2015-XMCDC-189-CA10	
KX768208	KX768208.1	2015-XMCDC-220-CA10	
KX768209	KX768209.1	2015-XMCDC-294-CA10	
KX842454	KX842454.1	Athens.GR/56.06	
KX904854	KX904854.1	SHC10A2012-24V	
KX904855	KX904855.1	SHC10A2012-27V	
KX904856	KX904856.1	SHC10A2013-100	
KX904857	KX904857.1	SHC10A2013-105	
KX904858	KX904858.1	SHC10A2013-114	
KX904859	KX904859.1	SHC10A2014-98	
KX904860	KX904860.1	SHC10A2014-99	
KX904861	KX904861.1	SHC10A2015-22V	
KX904862	KX904862.1	SHC10A2015-23V	
KX904863	KX904863.1	SHC10A2015-46	
KX904864	KX904864.1	SHC10A2016-30V	
KX904865	KX904865.1	SHC10A2016-45H	
KX982670	KX982670.1	HN18	
KX982671	KX982671.1	HN19	
KY079192	KY079192.1	B2083	
KY082003	KY082003.1	SJZ2009-0092F/HeB/CHN/2009	
KY082004	KY082004.1	SJZ2009-0207F/HeB/CHN/2009	
KY498036	KY498036.1	246/Khabarovsk/Rus/2015	
KY498037	KY498037.1	252/Khabarovsk/Rus/2015	
KY498038	KY498038.1	370/Khabarovsk/Rus/2015	
KY498039	KY498039.1	470/Khabarovsk/Rus/2015	
KY762310	KY762310.1	KY762310	
KY865837	KY865837.1	3101300186_2013_CEVS	
KY865933	KY865933.1	3101300330_2013_CEVS	
KY866260	KY866260.1	3101400385_2014_CEVS	
KY866363	KY866363.1	3101400525_2014_CEVS	
KY866419	KY866419.1	3101400645_2014_CEVS	
KY866439	KY866439.1	3101400698_2014_CEVS	
KY866484	KY866484.1	3101400786_2014_CEVS	
KY866487	KY866487.1	3101400789_2014_CEVS	
KY866497	KY866497.1	3101400806_2014_CEVS	
KY866512	KY866512.1	3101400841_2014_CEVS	
KY885648	KY885648.1	JX436/2010	
KY885649	KY885649.1	JX498/2010	
KY885650	KY885650.1	JX946/2010	
KY885651	KY885651.1	JX1175/2010	
KY885652	KY885652.1	JX1262/2010	
KY885653	KY885653.1	JX1296/2010	
KY885654	KY885654.1	JX1346/2010	
KY885655	KY885655.1	JX1353/2010	
KY885656	KY885656.1	JX1387/2010	
