accession	accession_version	database	sra_accessions	strain	region	location	date	date_released	date_updated	length	host	isolate-lineage-source	biosample_accessions	authors	institution	submitter_country	country	division	abbr_authors	clade	qc.overallScore	qc.overallStatus	alignmentScore	alignmentStart	alignmentEnd	genome_coverage	age	gender	symptoms	published_clade
JX947771	JX947771.1	GenBank		SD433	Asia		2010-05-XX	2013-01-09	2013-01-09	317	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."											
JX947772	JX947772.1	GenBank		SD437	Asia		2010-05-XX	2013-01-09	2013-01-09	317	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."											
JX947773	JX947773.1	GenBank		SD457	Asia		2010-05-XX	2013-01-09	2013-01-09	317	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."											
JX947774	JX947774.1	GenBank		SD461	Asia		2010-05-XX	2013-01-09	2013-01-09	317	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."											
JX947775	JX947775.1	GenBank		SD462	Asia		2010-05-XX	2013-01-09	2013-01-09	317	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."											
JX947776	JX947776.1	GenBank		SD477	Asia		2010-04-XX	2013-01-09	2013-01-09	317	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."											
JX947777	JX947777.1	GenBank		SD495	Asia		2010-05-XX	2013-01-09	2013-01-09	317	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."											
JX947778	JX947778.1	GenBank		SD554	Asia		2010-05-XX	2013-01-09	2013-01-09	317	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."											
JX947779	JX947779.1	GenBank		SD557	Asia		2010-05-XX	2013-01-09	2013-01-09	317	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."											
JX947780	JX947780.1	GenBank		SD559	Asia		2010-05-XX	2013-01-09	2013-01-09	317	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."											
JX947781	JX947781.1	GenBank		SD560	Asia		2010-05-XX	2013-01-09	2013-01-09	317	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."											
JX947782	JX947782.1	GenBank		SD598	Asia		2010-05-XX	2013-01-09	2013-01-09	317	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."											
JX947783	JX947783.1	GenBank		SD607	Asia		2010-05-XX	2013-01-09	2013-01-09	317	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."											
JX947784	JX947784.1	GenBank		SD613	Asia		2010-05-XX	2013-01-09	2013-01-09	317	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."											
JX947785	JX947785.1	GenBank		SD634	Asia		2010-05-XX	2013-01-09	2013-01-09	317	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."											
JX947786	JX947786.1	GenBank		SD639	Asia		2010-04-XX	2013-01-09	2013-01-09	317	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."											
JX947787	JX947787.1	GenBank		SD650	Asia		2010-05-XX	2013-01-09	2013-01-09	317	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."											
JX947788	JX947788.1	GenBank		SD843	Asia		2010-06-XX	2013-01-09	2013-01-09	317	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."											
JX947789	JX947789.1	GenBank		SD845	Asia		2010-06-XX	2013-01-09	2013-01-09	317	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."											
JX947790	JX947790.1	GenBank		SD867	Asia		2010-06-XX	2013-01-09	2013-01-09	317	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."											
JX947791	JX947791.1	GenBank		SD877	Asia		2010-06-XX	2013-01-09	2013-01-09	317	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."											
JX947792	JX947792.1	GenBank		CQ108	Asia		2010-03-XX	2013-01-09	2013-01-09	572	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."		0	good	1160	2437	3008	0.0772034012687272				
JX947793	JX947793.1	GenBank		CQ118	Asia		2010-03-XX	2013-01-09	2013-01-09	572	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."		0	good	1156	2437	3008	0.0772034012687272				
JX947794	JX947794.1	GenBank		SD554	Asia		2010-05-XX	2013-01-09	2013-01-09	572	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."		0	good	1184	2437	3008	0.0772034012687272				
JX947795	JX947795.1	GenBank		SD557	Asia		2010-05-XX	2013-01-09	2013-01-09	572	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."		0	good	1184	2437	3008	0.0772034012687272				
JX947796	JX947796.1	GenBank		SD560	Asia		2010-05-XX	2013-01-09	2013-01-09	572	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."		0	good	1184	2437	3008	0.0772034012687272				
JX947797	JX947797.1	GenBank		SD433	Asia		2010-05-XX	2013-01-09	2013-01-09	572	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."		0	good	1176	2437	3008	0.0772034012687272				
JX947798	JX947798.1	GenBank		SD650	Asia		2010-05-XX	2013-01-09	2013-01-09	572	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."		0	good	1176	2437	3008	0.0772034012687272				
JX947799	JX947799.1	GenBank		SD598	Asia		2010-05-XX	2013-01-09	2013-01-09	572	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."		0	good	1180	2437	3008	0.0772034012687272				
JX947800	JX947800.1	GenBank		SD634	Asia		2010-05-XX	2013-01-09	2013-01-09	572	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."		0	good	1180	2437	3008	0.0772034012687272				
JX947801	JX947801.1	GenBank		SD639	Asia		2010-04-XX	2013-01-09	2013-01-09	572	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."		0	good	1180	2437	3008	0.0772034012687272				
JX947802	JX947802.1	GenBank		SD254	Asia		2010-05-XX	2013-01-09	2013-01-09	572	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."		0	good	1164	2437	3008	0.0772034012687272				
JX947803	JX947803.1	GenBank		CQ845	Asia		2010-06-XX	2013-01-09	2013-01-09	572	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."		0	good	1160	2437	3008	0.0772034012687272				
JX947804	JX947804.1	GenBank		HN1104	Asia		2010-06-XX	2013-01-09	2013-01-09	572	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."		0	good	1180	2437	3008	0.0772034012687272				
JX947805	JX947805.1	GenBank		CQ660	Asia		2010-06-XX	2013-01-09	2013-01-09	572	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."		0	good	1172	2437	3008	0.0772034012687272				
JX947806	JX947806.1	GenBank		CQ764	Asia		2010-06-XX	2013-01-09	2013-01-09	572	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."		0	good	1172	2437	3008	0.0772034012687272				
JX947807	JX947807.1	GenBank		CQ723	Asia		2010-06-XX	2013-01-09	2013-01-09	572	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."		0	good	1164	2437	3008	0.0772034012687272				
JX947808	JX947808.1	GenBank		CQ1643	Asia		2011-05-XX	2013-01-09	2013-01-09	572	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."		0	good	1164	2437	3008	0.0772034012687272				
JX947809	JX947809.1	GenBank		CQ745	Asia		2010-06-XX	2013-01-09	2013-01-09	572	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."		0	good	1168	2437	3008	0.0772034012687272				
JX947810	JX947810.1	GenBank		CQ768	Asia		2010-06-XX	2013-01-09	2013-01-09	572	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."		0	good	1156	2437	3008	0.0772034012687272				
JX947811	JX947811.1	GenBank		HN1152	Asia		2010-08-XX	2013-01-09	2013-01-09	572	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."		0	good	1160	2437	3008	0.0772034012687272				
JX947812	JX947812.1	GenBank		CQ663	Asia		2010-06-XX	2013-01-09	2013-01-09	572	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."		0	good	1164	2437	3008	0.0772034012687272				
JX947813	JX947813.1	GenBank		CQ758	Asia		2010-06-XX	2013-01-09	2013-01-09	572	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."		0	good	1160	2437	3008	0.0772034012687272				
JX947814	JX947814.1	GenBank		CQ1462	Asia		2010-08-XX	2013-01-09	2013-01-09	572	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."		0	good	1176	2437	3008	0.0772034012687272				
JX947815	JX947815.1	GenBank		SD1345	Asia		2010-10-XX	2013-01-09	2013-01-09	572	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."		0	good	1176	2437	3008	0.0772034012687272				
JX947816	JX947816.1	GenBank		SD477	Asia		2010-04-XX	2013-01-09	2013-01-09	572	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."		0	good	1164	2437	3008	0.0772034012687272				
JX947817	JX947817.1	GenBank		CQ1654	Asia		2011-05-XX	2013-01-09	2013-01-09	572	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."		0	good	1144	2437	3008	0.0772034012687272				
JX947818	JX947818.1	GenBank		CQ1533	Asia		2011-04-XX	2013-01-09	2013-01-09	572	"Homo sapiens"	feces		Lu,Q.B.,Zhang,X.A.,Wo,Y.,Xu,H.M.,Li,X.J.,Wang,X.J.,Ding,S.J.,Chen,X.D.,He,C.,Liu,L.J.,Li,H.,Yang,H.,Li,T.Y.,Liu,W.,Cao,W.C.,Lu,Q.-B.,Cao,W.-C.	"State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology, Epidemiology"	China	China		"Lu et al."		0	good	1128	2437	3008	0.0772034012687272				
